3892 14:12:18 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
3892 14:12:18 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9512 14:13:18 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9512 14:13:18 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
ManagedPoolThread #4 14:13:47 INFO  [Index=sitecore_master_index] Optimizing
ManagedPoolThread #4 14:13:48 INFO  [Index=sitecore_master_index] Optimized
8284 14:14:19 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
8284 14:14:19 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
5548 14:15:20 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
5548 14:15:20 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
5548 14:16:22 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
5548 14:16:22 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9652 14:17:25 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9652 14:17:25 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
4368 14:18:26 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
4368 14:18:26 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9076 14:19:28 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9076 14:19:28 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9684 14:20:31 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9684 14:20:31 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9540 14:21:31 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9540 14:21:31 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
10012 14:22:31 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
10012 14:22:31 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
9076 14:23:32 INFO  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy executing.
9076 14:23:32 INFO  [Index=sitecore_core_index] History engine is empty. Incremental rebuild returns
ManagedPoolThread #18 14:23:44 WARN  Stopping indexing while package is being installed.
ManagedPoolThread #18 14:23:44 WARN  [Index=sitecore_core_index] Crawling Stopped
ManagedPoolThread #18 14:23:44 WARN  [Index=sitecore_master_index] Crawling Stopped
ManagedPoolThread #18 14:23:44 WARN  [Index=sitecore_web_index] Crawling Stopped
9684 14:24:32 WARN  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy triggered but muted. Indexing is paused.
ManagedPoolThread #18 14:24:32 INFO  Updating '17' items from installed items.
ManagedPoolThread #18 14:24:32 INFO  [Index=sitecore_core_index] Updating '17' items from installed items.
ManagedPoolThread #18 14:24:32 INFO  IndexCustodian. ForcedIncrementalUpdate triggered on index sitecore_core_index. Data=Count=17
ManagedPoolThread #14 14:24:33 INFO  [Index=sitecore_core_index] TimeIntervalCommitPolicy.ShouldCommit - Time Limit Exceeded, lastCommit=2/28/2014 1:13:45 PM, count=1
ManagedPoolThread #14 14:24:33 INFO  [Index=sitecore_core_index] Committing: Add: 0; Update:0; DeleteUnique: 0; DeleteGroup: 0
ManagedPoolThread #14 14:24:33 INFO  [Index=sitecore_core_index] Committed
ManagedPoolThread #14 14:24:33 INFO  [Index=sitecore_core_index] Committing: Add: 0; Update:107; DeleteUnique: 0; DeleteGroup: 0
ManagedPoolThread #14 14:24:33 INFO  [Index=sitecore_core_index] Committed
ManagedPoolThread #14 14:24:33 INFO  IndexDependentHtmlCacheManager triggered.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'shell'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'login'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'admin'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'service'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'modules_shell'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'modules_website'.
ManagedPoolThread #14 14:24:33 INFO  Clearing index dependent cache for site 'website'.
